filecode,wave,canonical_name,variable_type,value_raw,value_numeric,value_label,is_missing,conflicts
zdc2,2B,DM,categorical,missing(-1),-1,missing,TRUE,
zdc2,2B,DM,categorical,no DM(0),0,no DM,FALSE,
zdc2,2B,DM,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,2B,DM,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,2B,DM,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,F,DM,categorical,missing(-1),-1,missing,TRUE,
zdc2,F,DM,categorical,no DM(0),0,no DM,FALSE,
zdc2,F,DM,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,F,DM,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,F,DM,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,F,DM,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,F,alg_DM_ruw,categorical,missing(-1),-1,missing,TRUE,
zdc2,F,alg_DM_ruw,categorical,no DM(0),0,no DM,FALSE,
zdc2,F,alg_DM_ruw,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,F,alg_DM_ruw,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,F,alg_DM_ruw,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,F,alg_DM_ruw,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,G,DM,categorical,missing(-1),-1,missing,TRUE,
zdc2,G,DM,categorical,no DM(0),0,no DM,FALSE,
zdc2,G,DM,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,G,DM,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,G,DM,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,G,DM,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,G,alg_DM_ruw,categorical,missing(-1),-1,missing,TRUE,
zdc2,G,alg_DM_ruw,categorical,no DM(0),0,no DM,FALSE,
zdc2,G,alg_DM_ruw,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,G,alg_DM_ruw,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,G,alg_DM_ruw,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,G,alg_DM_ruw,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,H,DM,categorical,missing(-1),-1,missing,TRUE,
zdc2,H,DM,categorical,no DM(0),0,no DM,FALSE,
zdc2,H,DM,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,H,DM,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,H,DM,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,H,DM,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,H,alg_DM_ruw,categorical,missing(-1),-1,missing,TRUE,
zdc2,H,alg_DM_ruw,categorical,no DM(0),0,no DM,FALSE,
zdc2,H,alg_DM_ruw,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,H,alg_DM_ruw,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,H,alg_DM_ruw,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,H,alg_DM_ruw,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,I,DM,categorical,missing(-1),-1,missing,TRUE,
zdc2,I,DM,categorical,no DM(0),0,no DM,FALSE,
zdc2,I,DM,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,I,DM,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,I,DM,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,I,DM,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,I,alg_DM_ruw,categorical,missing(-1),-1,missing,TRUE,
zdc2,I,alg_DM_ruw,categorical,no DM(0),0,no DM,FALSE,
zdc2,I,alg_DM_ruw,categorical,definite DM(1),1,definite DM,FALSE,
zdc2,I,alg_DM_ruw,categorical,possible DM(2),2,possible DM,FALSE,
zdc2,I,alg_DM_ruw,categorical,contradictory(3),3,contradictory,FALSE,
zdc2,I,alg_DM_ruw,categorical,drop-out(5),5,drop-out,FALSE,
zdc2,Z,DM,categorical,-1,-1,missing,TRUE,
zdc2,Z,DM,categorical,0,0,no DM,FALSE,
zdc2,Z,DM,categorical,1,1,definite DM,FALSE,
zdc2,Z,DM,categorical,2,2,possible DM,FALSE,
zdc2,Z,DM,categorical,3,3,contradictory,FALSE,
zdc2,Z,DM,categorical,5,5,drop-out,FALSE,
zdc2,Z,alg_DM_ruw,categorical,-1,-1,missing,TRUE,
zdc2,Z,alg_DM_ruw,categorical,0,0,no DM,FALSE,
zdc2,Z,alg_DM_ruw,categorical,1,1,definite DM,FALSE,
zdc2,Z,alg_DM_ruw,categorical,2,2,possible DM,FALSE,
zdc2,Z,alg_DM_ruw,categorical,3,3,contradictory,FALSE,
zdc2,Z,alg_DM_ruw,categorical,5,5,drop-out,FALSE,
